AveragePrice,Total Volume,type,region,month
1.09,844931.21,0,2,2
1.06,1007418.76,0,2,2
1.2,692934.46,0,2,1
1.23,657741.34,0,2,1
1.17,670231.94,0,2,1
1.08,788025.06,0,2,1
0.97,62909.69,0,3,12
1.03,57504.05,0,3,12
0.99,58461.05,0,3,12
0.71,95295.34,0,3,12
1.06,49069.13,0,3,11
1.09,52875.58,0,3,11
1.01,68648.22,0,3,11
1.11,55847.79,0,3,11
1.14,53585.51,0,3,11
1.11,59874.45,0,3,10
1.16,54191.14,0,3,10
0.94,80904.19,0,3,10
1.12,59496.33,0,3,10
0.99,64187.8,0,3,9
1.03,73952.9,0,3,9
1.08,64208.84,0,3,9
1.16,64464.61,0,3,9
1.19,60099.83,0,3,8
1.05,70773.76,0,3,8
1.12,64001.61,0,3,8
1.1,61286.98,0,3,8
1.07,67763.91,0,3,8
1.07,67826.07,0,3,7
1.09,63958.04,0,3,7
1.05,74677.72,0,3,7
1.15,85044.45,0,3,7
1.04,75280.41,0,3,6
1.06,81397.07,0,3,6
0.99,87607.71,0,3,6
1.12,80751.29,0,3,6
0.97,76689.38,0,3,5
1.03,83209.77,0,3,5
0.96,77987.53,0,3,5
1.06,95788.53,0,3,5
1.0,85466.99,0,3,5
0.96,88111.17,0,3,4
0.99,89694.96,0,3,4
1.19,66246.3,0,3,4
1.09,76704.46,0,3,4
0.98,74543.98,0,3,3
1.17,61419.11,0,3,3
1.0,65918.28,0,3,3
1.14,65350.24,0,3,3
1.06,75046.37,0,3,3
0.99,76836.1,0,3,2
1.14,61221.98,0,3,2
1.07,69970.75,0,3,2
0.91,113578.24,0,3,2
1.03,66069.21,0,3,1
1.08,62870.49,0,3,1
1.18,57355.52,0,3,1
1.01,80034.32,0,3,1
1.13,450816.39,0,4,12
1.07,489802.88,0,4,12
1.01,549945.76,0,4,12
1.02,488679.31,0,4,12
1.19,350559.81,0,4,11
1.07,466759.99,0,4,11
1.05,513738.98,0,4,11
1.04,641759.57,0,4,11
1.06,553096.84,0,4,11
1.02,534249.47,0,4,10
0.94,725296.29,0,4,10
1.14,485706.68,0,4,10
1.07,536479.42,0,4,10
1.07,553307.04,0,4,9
1.15,498640.23,0,4,9
1.03,655682.95,0,4,9
1.11,577774.74,0,4,9
1.13,526664.87,0,4,8
1.07,589471.32,0,4,8
1.15,565795.06,0,4,8
1.07,690517.19,0,4,8
1.17,571994.5,0,4,8
1.28,500233.69,0,4,7
1.18,597168.12,0,4,7
1.14,634515.74,0,4,7
1.27,582909.73,0,4,7
1.25,560494.92,0,4,6
1.24,543504.66,0,4,6
1.08,684346.48,0,4,6
1.25,562542.86,0,4,6
1.26,565160.95,0,4,5
1.14,633521.98,0,4,5
1.26,534488.54,0,4,5
1.14,625558.14,0,4,5
1.17,552368.94,0,4,5
1.28,465911.37,0,4,4
1.15,504619.83,0,4,4
1.26,408485.16,0,4,4
1.27,449818.01,0,4,4
1.19,453631.25,0,4,3
1.18,453173.22,0,4,3
1.25,417750.36,0,4,3
1.17,408403.96,0,4,3
1.11,485736.1,0,4,3
1.23,355432.28,0,4,2
1.2,399883.99,0,4,2
1.04,609985.34,0,4,2
1.22,490022.14,0,4,2
1.17,409343.56,0,4,1
1.23,401331.33,0,4,1
1.1,437771.89,0,4,1
1.02,491738.0,0,4,1
1.35,96233.08,0,5,12
